name,link
Aerospace & Defence,/company/compare/00000085/
Agro Chemicals,/company/compare/00000001/
Air Transport Service,/company/compare/00000002/
Alcoholic Beverages,/company/compare/00000003/
Auto Ancillaries,/company/compare/00000004/
Automobile,/company/compare/00000005/
Banks,/company/compare/00000006/
Bearings,/company/compare/00000066/
Cables,/company/compare/00000007/
Capital Goods - Electrical Equipment,/company/compare/00000008/
Capital Goods-Non Electrical Equipment,/company/compare/00000009/
"Castings, Forgings & Fastners",/company/compare/00000010/
Cement,/company/compare/00000011/
Cement - Products,/company/compare/00000012/
Ceramic Products,/company/compare/00000013/
Chemicals,/company/compare/00000014/
Computer Education,/company/compare/00000015/
Construction,/company/compare/00000016/
Consumer Durables,/company/compare/00000017/
Credit Rating Agencies,/company/compare/00000018/
Crude Oil & Natural Gas,/company/compare/00000019/
"Diamond, Gems and Jewellery",/company/compare/00000020/
Diversified,/company/compare/00000021/
Dry cells,/company/compare/00000022/
E-Commerce/App based Aggregator,/company/compare/00000080/
Edible Oil,/company/compare/00000023/
Education,/company/compare/00000073/
Electronics,/company/compare/00000076/
Engineering,/company/compare/00000072/
Entertainment,/company/compare/00000024/
ETF,/company/compare/00000069/
Ferro Alloys,/company/compare/00000071/
Fertilizers,/company/compare/00000025/
Finance,/company/compare/00000026/
Financial Services,/company/compare/00000087/
FMCG,/company/compare/00000027/
Gas Distribution,/company/compare/00000028/
Glass & Glass Products,/company/compare/00000029/
Healthcare,/company/compare/00000030/
Hotels & Restaurants,/company/compare/00000031/
Infrastructure Developers & Operators,/company/compare/00000032/
Infrastructure Investment Trusts,/company/compare/00000082/
Insurance,/company/compare/00000067/
IT - Hardware,/company/compare/00000033/
IT - Software,/company/compare/00000034/
Leather,/company/compare/00000035/
Logistics,/company/compare/00000036/
Marine Port & Services,/company/compare/00000083/
Media - Print/Television/Radio,/company/compare/00000037/
Mining & Mineral products,/company/compare/00000038/
Miscellaneous,/company/compare/00000039/
Non Ferrous Metals,/company/compare/00000040/
Oil Drill/Allied,/company/compare/00000041/
Online Media,/company/compare/00000075/
Packaging,/company/compare/00000042/
Paints/Varnish,/company/compare/00000043/
Paper,/company/compare/00000044/
Petrochemicals,/company/compare/00000045/
Pharmaceuticals,/company/compare/00000046/
Plantation & Plantation Products,/company/compare/00000047/
Plastic products,/company/compare/00000048/
Plywood Boards/Laminates,/company/compare/00000086/
Power Generation & Distribution,/company/compare/00000049/
Power Infrastructure,/company/compare/00000079/
Printing & Stationery,/company/compare/00000074/
Quick Service Restaurant,/company/compare/00000084/
Railways,/company/compare/00000077/
Readymade Garments/ Apparells,/company/compare/00000050/
Real Estate Investment Trusts,/company/compare/00000081/
Realty,/company/compare/00000051/
Refineries,/company/compare/00000052/
Refractories,/company/compare/00000053/
Retail,/company/compare/00000054/
Sanitaryware,/company/compare/00000070/
Ship Building,/company/compare/00000055/
Shipping,/company/compare/00000056/
Steel,/company/compare/00000057/
Stock/ Commodity Brokers,/company/compare/00000058/
Sugar,/company/compare/00000059/
Telecom-Handsets/Mobile,/company/compare/00000068/
Telecomm Equipment & Infra Services,/company/compare/00000060/
Telecomm-Service,/company/compare/00000061/
Textiles,/company/compare/00000062/
Tobacco Products,/company/compare/00000063/
Trading,/company/compare/00000064/
Tyres,/company/compare/00000065/
